도,생활권,color,시군
서울특별시,서울특별시,#AD2828,서울특별시
부산광역시,부산광역시,#28AD4F,부산광역시
대구광역시,대구광역시,#7628AD,대구광역시
인천광역시,인천광역시,#AD9C28,인천광역시
인천광역시,옹진군,#2FA6A6,옹진군
광주광역시,광주광역시,#2897AD,광주광역시
대전광역시,대전광역시,#AD2870,대전광역시
울산광역시,울산광역시,#49AD28,울산광역시
세종특별자치시,세종특별자치시,#2E28AD,세종특별자치시
경기도,남부권,#D37546,군포시
경기도,남부권,#D37546,성남시
경기도,남부권,#D37546,수원시
경기도,남부권,#D37546,안성시
경기도,남부권,#D37546,오산시
경기도,남부권,#D37546,용인시
경기도,남부권,#D37546,의왕시
경기도,남부권,#D37546,평택시
경기도,남부권,#D37546,화성시
경기도,동부권,#B05629,가평군
경기도,동부권,#B05629,광주시
경기도,동부권,#B05629,양평군
경기도,동부권,#B05629,여주시
경기도,동부권,#B05629,이천시
경기도,동부권,#B05629,하남시
경기도,북부권,#7B3C1D,고양시
경기도,북부권,#7B3C1D,구리시
경기도,북부권,#7B3C1D,김포시
경기도,북부권,#7B3C1D,남양주시
경기도,북부권,#7B3C1D,동두천시
경기도,북부권,#7B3C1D,양주시
경기도,북부권,#7B3C1D,연천군
경기도,북부권,#7B3C1D,의정부시
경기도,북부권,#7B3C1D,파주시
경기도,북부권,#7B3C1D,포천시
경기도,서부권,#DF9C7A,과천시
경기도,서부권,#DF9C7A,광명시
경기도,서부권,#DF9C7A,부천시
경기도,서부권,#DF9C7A,시흥시
경기도,서부권,#DF9C7A,안산시
경기도,서부권,#DF9C7A,안양시
강원도,영동권,#7ADFBA,강릉시
강원도,영동권,#7ADFBA,고성군
강원도,영동권,#7ADFBA,동해시
강원도,영동권,#7ADFBA,삼척시
강원도,영동권,#7ADFBA,속초시
강원도,영동권,#7ADFBA,양양군
강원도,영동권,#7ADFBA,영월군
강원도,영동권,#7ADFBA,정선군
강원도,영동권,#7ADFBA,태백시
강원도,영동권,#7ADFBA,평창군
강원도,영서권,#1D7B58,양구군
강원도,영서권,#1D7B58,원주시
강원도,영서권,#1D7B58,인제군
강원도,영서권,#1D7B58,철원군
강원도,영서권,#1D7B58,춘천시
강원도,영서권,#1D7B58,홍천군
강원도,영서권,#1D7B58,화천군
강원도,영서권,#1D7B58,횡성군
충청북도,남부권,#D77ADF,보은군
충청북도,남부권,#D77ADF,영동군
충청북도,남부권,#D77ADF,옥천군
충청북도,북부권,#741D7B,괴산군
충청북도,북부권,#741D7B,단양군
충청북도,북부권,#741D7B,음성군
충청북도,북부권,#741D7B,제천시
충청북도,북부권,#741D7B,증평군
충청북도,북부권,#741D7B,진천군
충청북도,북부권,#741D7B,청주시
충청북도,북부권,#741D7B,충주시
충청남도,남부권,#CADF7A,금산군
충청남도,남부권,#CADF7A,보령시
충청남도,남부권,#CADF7A,서천군
충청남도,북부권,#687B1D,당진시
충청남도,북부권,#687B1D,서산시
충청남도,북부권,#687B1D,아산시
충청남도,북부권,#687B1D,예산군
충청남도,북부권,#687B1D,천안시
충청남도,북부권,#687B1D,태안군
충청남도,북부권,#687B1D,홍성군
충청남도,중부권,#A9CA2F,계룡시
충청남도,중부권,#A9CA2F,공주시
충청남도,중부권,#A9CA2F,논산시
충청남도,중부권,#A9CA2F,부여군
충청남도,중부권,#A9CA2F,청양군
전라북도,남부권,#7AADDF,남원시
전라북도,남부권,#7AADDF,무주군
전라북도,남부권,#7AADDF,순창군
전라북도,남부권,#7AADDF,임실군
전라북도,남부권,#7AADDF,장수군
전라북도,남부권,#7AADDF,정읍시
전라북도,남부권,#7AADDF,진안군
전라북도,북부권,#1D4C7B,고창군
전라북도,북부권,#1D4C7B,군산시
전라북도,북부권,#1D4C7B,김제시
전라북도,북부권,#1D4C7B,부안군
전라북도,북부권,#1D4C7B,완주군
전라북도,북부권,#1D4C7B,익산시
전라북도,북부권,#1D4C7B,전주시
전라남도,남부권,#DF7A8F,강진군
전라남도,남부권,#DF7A8F,완도군
전라남도,남부권,#DF7A8F,장흥군
전라남도,남부권,#DF7A8F,진도군
전라남도,남부권,#DF7A8F,해남군
전라남도,동부권,#7B1D30,고흥군
전라남도,동부권,#7B1D30,광양시
전라남도,동부권,#7B1D30,구례군
전라남도,동부권,#7B1D30,보성군
전라남도,동부권,#7B1D30,순천시
전라남도,동부권,#7B1D30,여수시
전라남도,북부권,#D34663,곡성군
전라남도,북부권,#D34663,나주시
전라남도,북부권,#D34663,담양군
전라남도,북부권,#D34663,영암군
전라남도,북부권,#D34663,화순군
전라남도,서부권,#B02945,목포시
전라남도,서부권,#B02945,무안군
전라남도,서부권,#B02945,신안군
전라남도,서부권,#B02945,영광군
전라남도,서부권,#B02945,장성군
전라남도,서부권,#B02945,함평군
경상북도,남부권,#7ADF83,경산시
경상북도,남부권,#7ADF83,영천시
경상북도,남부권,#7ADF83,청도군
경상북도,동해안권,#29B034,경주시
경상북도,동해안권,#29B034,영덕군
경상북도,울릉권,#7B4FCF,울릉군
경상북도,동해안권,#29B034,울진군
경상북도,동해안권,#29B034,포항시
경상북도,북부권,#1D7B25,문경시
경상북도,북부권,#1D7B25,봉화군
경상북도,북부권,#1D7B25,상주시
경상북도,북부권,#1D7B25,안동시
경상북도,북부권,#1D7B25,영양군
경상북도,북부권,#1D7B25,영주시
경상북도,북부권,#1D7B25,예천군
경상북도,북부권,#1D7B25,의성군
경상북도,북부권,#1D7B25,청송군
경상북도,서부권,#46D352,고령군
경상북도,서부권,#46D352,구미시
경상북도,서부권,#46D352,군위군
경상북도,서부권,#46D352,김천시
경상북도,서부권,#46D352,성주군
경상북도,서부권,#46D352,칠곡군
경상남도,남해안권,#5C29B0,거제시
경상남도,남해안권,#5C29B0,고성군
경상남도,남해안권,#5C29B0,남해군
경상남도,남해안권,#5C29B0,사천시
경상남도,남해안권,#5C29B0,통영시
경상남도,동부권,#401D7B,김해시
경상남도,동부권,#401D7B,양산시
경상남도,동부권,#401D7B,창원시
경상남도,북부권,#A07ADF,밀양시
경상남도,북부권,#A07ADF,창녕군
경상남도,서부권,#7B46D3,거창군
경상남도,서부권,#7B46D3,산청군
경상남도,서부권,#7B46D3,의령군
경상남도,서부권,#7B46D3,진주시
경상남도,서부권,#7B46D3,하동군
경상남도,서부권,#7B46D3,함안군
경상남도,서부권,#7B46D3,함양군
경상남도,서부권,#7B46D3,합천군
제주도,서귀포시,#DFBE7A,서귀포시
제주도,제주시,#7B5C1D,제주시
